1/1 feasible solution given by solution candidate storage, new primal bound 2.018452e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 3 generators found (max: 1500, log10 of symmetry group size: 1.08) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 3
   lexicographic reduction:    3 permutations with support sizes 120, 8040, 8040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 12060 variables (12060 bin, 0 int, 0 impl, 0 cont) and 510 constraints
    510 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  137s|  4300 |  4261 |103171 |  23.7 |   345M |  79 |  12k| 626 | 376 |1333 |  1 | 346 |3070 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  139s|  4400 |  4361 |104444 |  23.4 |   345M |  79 |  12k| 628 | 373 |1347 |  1 | 348 |3080 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  141s|  4500 |  4459 |105906 |  23.2 |   346M |  79 |  12k| 630 | 373 |1384 |  1 | 350 |3085 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  143s|  4600 |  4559 |107606 |  23.1 |   346M |  79 |  12k| 627 | 374 |1422 |  1 | 350 |3137 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  145s|  4700 |  4659 |109040 |  22.9 |   347M |  79 |  12k| 627 | 372 |1460 |  2 | 351 |3144 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  147s|  4800 |  4759 |110455 |  22.7 |   348M |  79 |  12k| 627 | 370 |1483 |  1 | 351 |3205 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  149s|  4900 |  4853 |111913 |  22.6 |   349M |  81 |  12k| 627 | 369 |1501 |  1 | 351 |3215 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  151s|  5000 |  4953 |113043 |  22.4 |   351M |  81 |  12k| 641 | 373 |1541 |  1 | 366 |3223 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  152s|  5100 |  5051 |114416 |  22.2 |   351M |  81 |  12k| 647 | 374 |1554 |  1 | 372 |3246 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  154s|  5200 |  5149 |115828 |  22.0 |   352M |  81 |  12k| 649 | 373 |1570 |  1 | 374 |3251 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  156s|  5300 |  5245 |116866 |  21.8 |   355M |  81 |  12k| 652 | 376 |1595 |  1 | 378 |3270 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  158s|  5400 |  5345 |119056 |  21.8 |   358M |  81 |  12k| 652 | 369 |1624 |  1 | 380 |3302 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  160s|  5500 |  5443 |120246 |  21.6 |   358M |  81 |  12k| 652 | 372 |1641 |  1 | 380 |3303 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  162s|  5600 |  5541 |122004 |  21.6 |   359M |  81 |  12k| 663 | 373 |1661 |  1 | 394 |3308 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  164s|  5700 |  5641 |123677 |  21.5 |   361M |  81 |  12k| 673 | 369 |1683 |  1 | 406 |3310 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  166s|  5800 |  5741 |124899 |  21.3 |   363M |  81 |  12k| 673 | 377 |1709 |  1 | 407 |3335 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  167s|  5900 |  5839 |126156 |  21.2 |   364M |  86 |  12k| 673 | 373 |1732 |  1 | 408 |3348 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  169s|  6000 |  5937 |127255 |  21.0 |   365M |  86 |  12k| 673 | 372 |1760 |  1 | 409 |3362 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  171s|  6100 |  6037 |128413 |  20.8 |   366M |  86 |  12k| 674 | 369 |1790 |  1 | 410 |3363 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  173s|  6200 |  6135 |129362 |  20.7 |   367M |  86 |  12k| 693 | 371 |1799 |  1 | 444 |3422 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  177s|  6300 |  6229 |130437 |  20.5 |   367M |  86 |  12k| 706 | 373 |1821 |  1 | 484 |3506 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  179s|  6400 |  6329 |132069 |  20.4 |   367M |  86 |  12k| 709 | 378 |1853 |  1 | 487 |3511 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  181s|  6500 |  6423 |133195 |  20.3 |   368M |  86 |  12k| 711 | 373 |1870 |  1 | 491 |3526 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  182s|  6600 |  6523 |134442 |  20.2 |   369M |  86 |  12k| 724 | 369 |1890 |  1 | 507 |3534 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  184s|  6700 |  6623 |135573 |  20.0 |   369M |  86 |  12k| 725 | 374 |1913 |  2 | 509 |3541 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
  186s|  6800 |  6723 |136535 |  19.9 |   369M |  86 |  12k| 730 | 378 |1942 |  1 | 515 |3541 | 2.019916e+05 | 2.018452e+05 |   0.07%|  30.62%
